id,city,temperature,feels_like,humidity,pressure,wind_speed,clouds,description,timestamp,record_date
1,Hà Nội,23.0,23.5,82,1013,2.6,100,mây đen u ám,2025-11-11 20:12:57,2025-11-11
2,Hải Phòng,22.95,23.21,73,1013,3.09,20,mây thưa,2025-11-11 20:12:57,2025-11-11
3,Hà Giang,20.47,21.11,97,1015,0.4,99,mây đen u ám,2025-11-11 20:12:58,2025-11-11
4,Cao Bằng,20.39,20.7,85,1015,0.75,100,mây đen u ám,2025-11-11 20:12:58,2025-11-11
13,Lào Cai,21.14,21.89,99,1015,0.75,100,mây đen u ám,2025-11-11 20:12:58,2025-11-11
18,Hà Nội,18.0,18.1,86,1023,8.34,100,mây đen u ám,2025-11-18 14:02:28,2025-11-18
19,Hải Phòng,20.95,21.14,78,1021,5.66,75,mưa nhẹ,2025-11-18 14:02:28,2025-11-18
20,Hà Giang,17.74,18.13,98,1023,1.3,100,mưa vừa,2025-11-18 14:02:29,2025-11-18
21,Cao Bằng,13.38,13.2,93,1026,1.94,100,mưa vừa,2025-11-18 14:02:29,2025-11-18
22,Lào Cai,18.87,19.4,99,1022,0.56,100,mưa nhẹ,2025-11-18 14:02:30,2025-11-18
23,Hà Nội,17.0,17.03,87,1023,7.79,100,mây đen u ám,2025-11-18 15:27:10,2025-11-18
24,Hải Phòng,17.95,18.1,88,1021,6.17,100,mưa nhẹ,2025-11-18 15:27:10,2025-11-18
25,Hà Giang,17.73,18.12,98,1023,1.43,100,mưa cường độ nặng,2025-11-18 15:27:11,2025-11-18
26,Cao Bằng,13.27,13.11,94,1026,1.75,100,mưa vừa,2025-11-18 15:27:11,2025-11-18
27,Lào Cai,18.94,19.47,99,1021,1.07,100,mưa vừa,2025-11-18 15:27:11,2025-11-18
30,Hà Nội,17.0,17.0,86,1024,7.77,100,mưa nhẹ,2025-11-18 15:50:10,2025-11-18
31,Hải Phòng,16.95,17.0,88,1022,5.14,100,mây đen u ám,2025-11-18 15:50:10,2025-11-18
32,Hà Giang,17.42,17.78,98,1024,1.28,100,mưa vừa,2025-11-18 15:50:11,2025-11-18
33,Cao Bằng,13.07,12.89,94,1027,1.87,100,mưa vừa,2025-11-18 15:50:11,2025-11-18
34,Lào Cai,18.47,18.96,99,1022,1.21,100,mưa vừa,2025-11-18 15:50:11,2025-11-18
37,Hà Nội,17.0,17.03,87,1023,7.77,100,mây đen u ám,2025-11-18 16:39:41,2025-11-18
38,Hải Phòng,15.95,16.06,94,1023,6.69,100,mây đen u ám,2025-11-18 16:39:42,2025-11-18
39,Hà Giang,16.98,17.27,97,1025,1.17,100,mưa vừa,2025-11-18 16:39:42,2025-11-18
40,Cao Bằng,13.0,12.78,93,1028,1.63,100,mưa vừa,2025-11-18 16:39:42,2025-11-18
41,Lào Cai,17.72,18.13,99,1024,1.16,100,mưa nhẹ,2025-11-18 16:39:43,2025-11-18
44,Hà Nội,17.0,16.95,84,1024,7.69,100,mây đen u ám,2025-11-18 16:47:08,2025-11-18
45,Hải Phòng,15.95,16.06,94,1023,6.69,100,mây đen u ám,2025-11-18 16:47:08,2025-11-18
46,Hà Giang,16.98,17.27,97,1025,1.17,100,mưa vừa,2025-11-18 16:47:09,2025-11-18
